titles,released,developers,publishers
Evil Dead: A Fistful of Boomstick,20-05-2003,VIS Entertainment,THQ
Evil Dead: Regeneration,13-09-2005,Cranky Pants Games,THQ
Evil Twin: Cyprien's Chronicles,07-12-2001,In Utero,Ubisoft
Evolution Skateboarding,09-10-2002,Konami,Konami
Evolution Snowboarding,26-11-2002,Konami,Konami
EX Jinsei Game,07-03-2002,Takara,Takara
EX Jinsei Game II,06-11-2003,Takara,Takara
EX Okuman Chouja Game,27-12-2001,Takara,Takara
Ex Zeus,30-07-2004,Hyper-Devbox,Metro3D
Extermination,08-03-2001,Deep Space,Sony Computer Entertainment
Extreme Sprint 3010,07--2007,Phoenix Games,Phoenix Games
Eyeshield 21: AmeFoot Yarouze! Ya! Ha!,22-12-2005,Konami,Konami
EyeToy: AntiGrav,09-11-2004,Harmonix Music Systems,Sony Computer Entertainment
EyeToy: Groove•EyeToy: FuriFuri Dance TengokuJP,14-11-2003,Sony Computer Entertainment,Sony Computer Entertainment
EyeToy: Kinetic,23-09-2005,London Studio,Sony Computer Entertainment
EyeToy: Kinetic Combat,17-11-2006,London Studio,Sony Computer Entertainment
"EyeToy: Monkey Mania•Saru Eye Toy Oosawagi: Wakki Waki Game Tenkomori!!AS,JP,KO",04-08-2004,Sony Computer Entertainment,Sony Computer Entertainment
EyeToy: Operation Spy•SpyToyPAL,14-10-2005,London Studio,Sony Computer Entertainment
EyeToy: Play,04-07-2003,London Studio,Sony Computer Entertainment
EyeToy: Play 2,05-11-2004,London Studio,Sony Computer Entertainment
EyeToy: Play 3,04-11-2005,London Studio,Sony Computer Entertainment
EyeToy Play: Astro Zoo,02-11-2007,London Studio,Sony Computer Entertainment
EyeToy Play: Hero,13-11-2008,London Studio,Sony Computer Entertainment
EyeToy Play: PomPom Party,12-11-2008,London Studio,Sony Computer Entertainment
EyeToy Play: Sports,03-11-2006,London Studio,Sony Computer Entertainment
F: Fanatic,29-07-2004,PrincessSoft,PrincessSoft
F1 2001,20-09-2001,EA Sports,Electronic Arts
F1 2002,06-06-2002,EA Sports,Electronic Arts
F1 Career Challenge,24-06-2003,EA Sports,Electronic Arts
F1 Championship Season 2000,15-12-2000,EA Sports,Electronic Arts
F1 Racing Championship,16-03-2001,Ubisoft,Video System
The Fairly OddParents: Breakin' Da Rules,03-11-2003,Blitz Games,THQ
The Fairly OddParents: Shadow Showdown,08-09-2004,Blitz Games,THQ
Falling Stars,31-08-2007,Ivolgamus,"IvolgamusEU, Agetec Inc.NA"
Fallout: Brotherhood of Steel,14-01-2004,Interplay Entertainment,"Interplay EntertainmentJP,NA, Avalon InteractiveEU"
Fame Academy: Dance Edition•Star AcademyFR,21-11-2003,Monte Cristo,UbisoftUKNobilus FranceFR
Family Board Games,27-01-2006,Mere Mortals,Liquid Games
Family Feud,12-10-2006,Atomic Planet,Global Star Software
Family Guy,02-10-2006,High Voltage Software,2K Games
Fantastic 4,27-06-2005,7 Studios,Activision
Fantastic Fortune 2,26-06-2003,GeneX,GeneX
Fantastic Fortune 2: Triple Star,03-03-2005,GeneX,GeneX
Fantastic Four: Rise of the Silver Surfer,15-06-2007,7 Studios,Take-Two Interactive
Fantasy Battle Kouryaku Box,24-06-2004,Koei,Koei
The Fantasy Renai Adventure: Kanojo no Densetsu•Simple 2000 Series Vol. 71: The Fantasy Renai Adventure: Kanojo no DensetsuJP,17-02-2005,S-Neo,D3 Publisher
FantaVision,09-03-2000,Sony Computer Entertainment,Sony Computer Entertainment
The Fast and the Furious,26-09-2006,Eutechnyx,Namco Bandai Games
Fatal Frame•ZeroJP•Project ZeroEU,13-12-2001,Tecmo,"TecmoJP,NA, Wanadoo EditionEU"
Fatal Frame II: Crimson Butterfly•Zero: Akai ChouJP•Project Zero II: Crimson ButterflyPAL,27-11-2003,Tecmo,"TecmoJP,NA, UbisoftPAL"
Fatal Frame III: The Tormented•Zero: Shisei no KoeJP•Project Zero 3: The TormentedEU,28-07-2005,Tecmo,"TecmoJP,NA, Take-Two InteractiveEU"
Fatal Fury: Battle Archives Vol. 1•Garou Densetsu Battle Archive 1JP,20-07-2006,SNK Playmore,"SNK PlaymoreJP,NA, Ignition EntertainmentPAL"
Fatal Fury: Battle Archives Vol. 2•Garou Densetsu Battle Archive 2JP,22-02-2007,SNK Playmore,SNK Playmore
Fate/Stay Night : Realta Nua,19-04-2007,Type-Moon,Kadokawa Games
Fate/Unlimited Codes,18-12-2008,Eighting,Capcom
The Fear,26-07-2001,Digital Frontier,Enix Corporation
Ferrari Challenge Trofeo Pirelli,26-08-2008,Eutechnyx,"ActivisionNA, System 3PAL"
Ferrari F355 Challenge,26-09-2002,Sega AM2,Sega
Festa!! Hyper Girls Party,29-06-2006,KID,KID
Fever 6,07-11-2002,ICS,ICS
Fever 7,20-03-2003,ICS,ICS
Fever 8,28-08-2003,ICS,ICS
Fever 9,25-12-2003,ICS,ICS
FIFA 14: Legacy Edition,24-09-2013,EA Canada,Electronic Arts
FIFA 2001•FIFA 2001: World ChampionshipJP,21-11-2000,EA Canada,EA Sports
FIFA Soccer 06•FIFA 06EU,30-09-2005,EA Canada,EA Sports
FIFA Soccer 07•FIFA 07EU•FIFA Soccer 07KO,25-09-2006,EA Canada,EA Sports
FIFA Soccer 08•FIFA 08PAL,27-09-2007,EA Canada,EA Sports
"FIFA Soccer 09•FIFA 09KO,PAL•FIFA 09: World Class SoccerJP",02-10-2008,EA Canada,EA Sports
FIFA Soccer 10•FIFA 10PAL•FIFA 10: World Class SoccerJP,01-10-2009,HB Studios,EA Sports
FIFA Soccer 11•FIFA 11PAL,28-09-2010,HB Studios,EA Sports
FIFA Soccer 12•FIFA 12PAL,27-09-2011,EA Canada,EA Sports
FIFA Soccer 13•FIFA 13PAL,25-09-2012,EA Canada,EA Sports
FIFA Soccer 2002•FIFA 2002PAL•FIFA 2002: Road to FIFA World CupJP,01-11-2001,EA Canada,EA Sports
FIFA Soccer 2003•FIFA Football 2003PAL•FIFA 2003JP,25-10-2002,EA Canada,EA Sports
FIFA Soccer 2004•FIFA Football 2004PAL•FIFA 2004JP,24-10-2003,EA Canada,EA Sports
FIFA Soccer 2005•FIFA Football 2005PAL,08-10-2004,EA Canada,EA Sports
FIFA Soccer World Championship,25-05-2000,Electronic Arts,Electronic Arts Victor
FIFA Street,22-02-2005,EA Canada,EA Sports Big
FIFA Street 2,28-02-2006,EA Canada,EA Sports Big
FIFA Total Football,18-03-2004,Electronic Arts,Electronic Arts Victor
FIFA Total Football 2,09-12-2004,Electronic Arts,Electronic Arts Victor
FIFA World Cup: Germany 2006,24-04-2006,EA Canada,EA Sports
Fight Club,16-11-2004,Genuine Games,"VU GamesNA, Sierra EntertainmentEU"
Fight Night 2004,05-04-2004,Genuine Games,EA Sports
Fight Night Round 2,28-02-2005,EA Sports,EA Sports
Fight Night Round 3,20-02-2006,EA Chicago,EA Sports
FightBox,06-02-2004,Gamezlab,Gamezlab
Fighter Maker 2,12-11-2002,Enterbrain,Agetec
Fighting Angels•Simple 2000 Series Vol. 55: The Catfight: Joneko DensetsuEU,24-06-2004,Tamsoft,"D3PublisherJP, 505 Game StreetEU"
Fighting for One Piece,08-09-2005,Bandai,Bandai
Fighting Fury•Grappler Baki: Baki Saidai no TournamentJP,12-10-2000,Tomy,"TomyJP, Midas Interactive EntertainmentEU"
Final Approach,07-10-2004,PrincessSoft,PrincessSoft
Final Approach 2: 1st Priority,28-02-2008,PrincessSoft,PrincessSoft
Final Armada,17-08-2007,I-Imagine,Virgin Play
Final Fantasy X,19-07-2001,SquareSoft,SquareSoft
Final Fantasy X-2,13-03-2003,SquareSoft,"SquareSoftAS,JP, Square EnixKO,NA, Electronic ArtsPAL"
Final Fantasy X-2: International + Last Mission,19-02-2004,Square Enix,Square Enix
Final Fantasy XI,16-05-2002,Square Enix,"SquareSoftJP, Sony Computer EntertainmentNA"
Final Fantasy XI: Chains of Promathia (Expansion)•Final Fantasy XI: Promathia no JubakuJP,16-09-2004,Square Enix,Square Enix
Final Fantasy XI: Rise of the Zilart (Expansion)•Final Fantasy XI: Zilart no GeneiJP•Final Fantasy XI: All-in-One Pack 2003JP,17-04-2003,Square Enix,Square Enix
Final Fantasy XI: Seekers of Adoulin (Expansion)•Final Fantasy XI: Adoulin no MakyouJP,27-03-2013,Square Enix,Square Enix
Final Fantasy XI: Treasures of Aht Urhgan (Expansion)•Final Fantasy XI: Aht Urhgan no HihouJP•Final Fantasy XI: All-In-One Pack 2006JP,18-04-2006,Square Enix,Square Enix
Final Fantasy XI: Wings of the Goddess (Expansion)•Final Fantasy XI: Altana no ShinpeiJP,20-11-2007,Square Enix,Square Enix
Final Fantasy XII,14-03-2006,Square Enix,Square Enix
Final Fantasy XII International Zodiac Job System,07-08-2007,Square Enix,Square Enix
Final Fight: Streetwise,28-02-2006,Capcom Production Studio 8,Capcom
Finalist,26-01-2006,PrincessSoft,PrincessSoft
Finkles World,05--2005,Phoenix Games,Phoenix Games
Finny The Fish & The Seven Waters•Uo-7-tsu no Mizu to Densetsu no NushiJP,15-07-2004,Sony Computer Entertainment,"Sony Computer EntertainmentJP, NatsumeNA"
Fire Blade,16-06-2002,Kuju Entertainment,Midway Games
Fire Heroes•Hard LuckJP,28-10-2004,Spike,"SpikeJP, 505 Game StreetEU"
Fire Pro Wrestling Returns•Fi-Pro ReturnsJP,15-09-2005,S-Neo,"SpikeJP, AgetecNA, 505 Game StreetEU"
Fire Pro Wrestling Z,05-06-2003,Spike,Spike
Firefighter F.D. 18,26-02-2004,Konami,Konami
First Kiss * Monogatari I & II,17-07-2003,M2,Broccoli
Fisherman's Bass Club•Simple 2000 Series Vol. 3: The Bass FishingJP•Bass Master FishingEU,28-03-2002,Vingt-eu-un Systems,"D3 PublisherJP, Agetec Inc.EU,NA"
Fisherman's Challenge,19-01-2003,Konami,Konami
Fishing Fantasy: BuzzRod•Buzz Rod: Fishing FantasyJP,06-01-2005,Starfish SD,"Starfish SDJP, 505 Game StreetEU"
Fitness Fun•Simple 2000 Ultimate Series Vol. 18: Love * AerobieJP,26-02-2004,Tamsoft,"D3 PublisherJP, 505 Game StreetEU"
Flame of Recca: Final Burning•Recca no Honoo: Final BurningJP,10-06-2004,KCEJ,Konami
FlatOut•Racing Game: Chuui!!!!JP,05-11-2004,Bugbear Entertainment,"Empire InteractiveEU,NA, KonamiJP"
FlatOut 2•FlatOut 2 GTRJP,30-06-2006,Bugbear Entertainment,"Empire InteractiveEU,KO,NA, KonamiJP"
The Flintstones in Viva Rock Vegas,06-07-2001,Toka,Swing! Deutschland
The Flintstones: Bedrock Racing,02-10-2007,"Coyote Console, Beyond Reality",Blast! Entertainment Ltd
Flipnic: Ultimate Pinball•FlipnicJP,13-07-2005,Sony Computer Entertainment,"Sony Computer EntertainmentJP, UbisoftEU, CapcomNA"
Flow: Urban Dance Uprising,15-11-2005,Artificial Mind and Movement,Ubisoft
"Flower, Sun, and Rain•Hana to Taiyō to Ame toJP",02-05-2001,Grasshopper Manufacture,Victor Interactive
Football Generation,10-11-2006,Trecision,Midas Interactive Entertainment
Football Kingdom: Trial Edition,27-05-2004,Namco,Namco
For Symphony: With All One's Heart,26-05-2005,Takuyo,Takuyo
Ford Bold Moves Street Racing•Ford Street RacingEU•Ford Street Racing XR EditionAU,24-02-2006,Razorworks,"XplosivPAL, Eidos InteractiveNA"
Ford Mustang: The Legend Lives,19-04-2005,Eutechnyx,2K Games
Ford Racing 2,28-10-2003,Razorworks,"Gotham GamesNA, Empire InteractiveEU"
Ford Racing 3,29-10-2004,Razorworks,"Empire InteractiveEU, 2K GamesNA"
Ford Racing: Off Road•Off RoadEU,20-03-2008,Razorworks,"XplosivEU, Empire InteractiveNA"
Ford vs. Chevy,09-11-2005,Eutechnyx,Global Star Software
Forever Kingdom•Evergrace IIJP,21-06-2001,FromSoftware,"FromSoftwareJP, Agetec Inc.NA"
Forgotten Realms: Demon Stone,14-09-2004,Stormfront Studios,Atari
Formation Final•Soccer Kantoku Saihai Simulation: Formation FinalJP,18-09-2003,Konami,Konami
Formula One 04,30-06-2004,Studio Liverpool,Sony Computer Entertainment
Formula One 05•Formula One 2005EU,01-07-2005,Studio Liverpool,Sony Computer Entertainment
Formula One 06,28-07-2006,Studio Liverpool,Sony Computer Entertainment
Formula One 2001,20-04-2001,Studio Liverpool,Sony Computer Entertainment
Formula One 2002,01-11-2002,Studio Liverpool,Sony Computer Entertainment
Formula One 2003,11-07-2003,Studio Liverpool,Sony Computer Entertainment
Formula Challenge,25-06-2004,Aqua Pacific,Oxygen Games
Forty 4 Party•Simple 2000 Series Vol. 2: The Party GameJP,08-11-2001,HuneX,"D3 PublisherJP, 505 Game StreetEU"
Fragments Blue,19-01-2006,SilverBullet,Kadokawa Games
Fragrance Tale,28-04-2005,Takuyo,Takuyo
Frank Herbert's Dune,14-11-2001,WideScreen Games,Cryo Interactive
Frankie Dettori Racing•Melbourne Cup ChallengeAU,26-10-2006,Sidhe,Tru Blu Entertainment
Franklin: A Birthday Surprise,31-03-2006,Neko Entertainment,The Game Factory
Freak Out: Extreme Freeride,30-03-2007,Coldwood Interactive,JoWooD Entertainment
Freaky Flyers,05-08-2003,Midway Games,Midway Games
Free Running,05-04-2007,Rebellion,"UbisoftAU, Reef EntertainmentEU"
Freedom Fighters,26-09-2003,IO Interactive,Electronic Arts
Freekstyle,17-06-2002,Page 44 Studios,EA Sports Big
Freestyle MetalX,27-06-2003,Deibus Studios,Midway Games
Frequency,19-11-2001,Harmonix Music Systems,Sony Computer Entertainment
Friends: The One with All the Trivia,15-11-2005,Artech Studios,Warner Bros. Interactive Entertainment
Friends: Seishun no Kagayaki,30-09-2004,F&C,NEC Interchannel
Frogger: Ancient Shadow,27-09-2005,Hudson Soft,Konami
Frogger Beyond•FroggerJP,26-06-2003,Konami,Konami
Frogger: The Great Quest,18-11-2001,Konami,Konami
Frogger's Adventures: The Rescue•Frogger RescueJP,29-10-2003,Konami,Konami
From Russia with Love•007: Russia Yori Ai OkometeJP,01-11-2005,EA Redwood Shores,Electronic Arts
Front Mission 4,18-12-2003,Square Enix,Square Enix
Front Mission 5: Scars of the War,29-12-2005,Square Enix,Square Enix
Front Mission Online,12-05-2005,Square Enix,Square Enix
Fruit Machine Mania,12-05-2006,Liquid Games,OG International Ltd
Fruitfall,07--2007,Phoenix Games,Phoenix Games
Fugitive Hunter: War on Terror,18-11-2003,Black Ops Entertainment,"Encore SoftwareNA, Play It!EU"
Fukakutei Sekai no Tantei Shinshi: Akugyou Futaasa no Jiken File,29-01-2009,Abel Software,Abel Software
Full House Kiss,22-07-2004,Tenky,Capcom
Full House Kiss 2,23-02-2006,Tenky,Capcom
Full Spectrum Warrior,28-03-2005,Pandemic Studios,"THQEU,KO,NA, SegaJP"
Full Spectrum Warrior: Ten Hammers•Full Spectrum Warrior 2: Ten HammersJP,28-03-2006,Pandemic Studios,"THQEU,KO,NA, SegaJP"
Fullmetal Alchemist 2: Curse of the Crimson Elixir•Hagane no Renkinjutsushi 2: Akaki Elixir no AkumaJP,22-09-2004,Racjin,Square Enix
Fullmetal Alchemist 3: The Girl who Succeeds God•Hagane no Renkinjutsushi 3: Kami o Tsugu ShoujoJP,21-07-2005,Racjin,Square Enix
Fullmetal Alchemist and the Broken Angel•Hagane no Renkinjutsushi: Tobenai TenshiJP,25-12-2003,Racjin,Square Enix
Fullmetal Alchemist: Dream Carnival•Hagane no Renkinjutsushi: Dream CarnivalJP,26-08-2004,Eighting,Bandai
Fur Fighters: Viggo's Revenge,03-06-2001,Bizarre Creations,Acclaim Entertainment
Furasera: Hurrah! Sailor,26-02-2004,Datam Polystar,Datam Polystar
Furry Tales,22-10-2004,Mad Monkey,Phoenix Games
Fushigi no Kuni no Alice,12-06-2003,Global A,Global A
Fushigi no Umi no Nadia: Inherit the Blue Water,22-09-2005,Jinx,Jinx
Fushigi Yuugi: Genbu Kaiten Gaiden - Kagami no Miko,23-06-2005,Idea Factory,Idea Factory
Fushigi Yuugi: Suzaku Ibun,29-05-2008,Idea Factory,Idea Factory
Futakoi,09-12-2004,Alpha Unit,MediaWorks
Futakoi Alternative,23-06-2005,Marvelous Entertainment,Marvelous Entertainment
Futakoi: Koi to Mizugi no Survival,25-08-2005,Alpha Unit,MediaWorks
Futari no Fantavision,04-07-2002,SCEJ,SCEJ
Futurama,01-08-2003,Unique Development Studios,"SCi GamesEU, Vivendi Universal GamesNA"
Future Tactics: The Uprising,10-05-2004,Zed Two,JoWood Entertainment
Fuun Bakumatsuden,20-01-2005,Genki,Genki
Fuuraiki,28-09-2006,FOG Inc.,FOG Inc.
Fuuraiki 2,10-11-2005,FOG Inc.,FOG Inc.
Fuuun Shinsengumi,22-01-2004,Genki,Konami
Fuuun Super Combo,21-06-2007,SNK Playmore,SNK Playmore
G-Force (2006),06-10-2006,Mere Mortals,Phoenix Games
G-Force,21-07-2009,Eurocom,Disney Interactive Studios
G-Saviour,14-09-2000,Atelier-Sai,Sunrise Interactive
G-Taste Mahjong,24-04-2003,Psikyo,X-Nauts
G.I. Joe: The Rise of Cobra,04-08-2009,Double Helix Games,Electronic Arts
G1 Jockey•G1 Jockey 2 2001JP,22-03-2001,Koei/Inis,"KoeiJP, THQEU"
G1 Jockey 2,02-11-2000,Koei/Inis,KoeiJP
G1 Jockey 3•G1 Jockey 3 + Winning Post 5 Maximum 2002JP,21-12-2002,Koei/Inis,"KoeiJP,NA, THQEU"
G1 Jockey 3 2003,30-10-2003,Koei/Inis,Koei
G1 Jockey 3 2005 Nendoban,24-02-2005,Koei,Koei
G1 Jockey 4•G1 Jockey 4 + Winning Post 7 Twin PackJP,22-12-2005,Koei,Koei
G1 Jockey 4 2006,14-09-2006,Koei,Koei
G1 Jockey 4 2007,01-11-2007,Koei,Koei
G1 Jockey 4 2008,18-09-2008,Koei,Koei
Gacharoku,05-12-2002,Agenda,Sony Computer Entertainment
Gacharoku 2: Kondo wa Sekai Isshuu yo!!,18-12-2003,Agenda,Sony Computer Entertainment
Gachinko Pro Yakyuu,07-08-2003,Now Production,Now Production
Gadget & the Gadgetinis,05-11-2004,EKO Software,Hip Games
Gadget Racers•Choro Q HGJP•Penny RacersPAL,21-12-2000,Barnhouse Effect,"TakaraJP, Conspiracy EntertainmentNA, Midas Interactive EntertainmentPAL"
Gadget Racers•Choro Q HG 3JP,12-12-2002,Takara,"TakaraJP, Zoo Digital PublishingPAL"
Gaelic Games: Football,11-11-2005,IR Gurus,Sony Computer Entertainment
Gaelic Games: Football 2,17-08-2007,IR Gurus,Sony Computer Entertainment
Gaelic Games: Hurling,30-11-2007,IR Gurus,Sony Computer Entertainment
Gaika no Gouhou: Air Land Force,28-08-2003,Koei,Koei
Gakkou o Tsukurou!! Happy Days,24-03-2005,Marvelous Entertainment,Marvelous Entertainment
Gakuen Alice: KiraKira Memory Kiss,22-06-2006,Kids Station,Kids Station
Gakuen Heaven: Boy's Love Scramble!,27-11-2003,Spray,NEC Interchannel
Gakuen Heaven: Boy's Love Scramble: Type B,22-07-2004,Spray,NEC Interchannel
Gakuen Heaven: Okawari! Boy's Love Attack!,24-02-2005,Spray,Interchannel
Gakuen Toshi Vara Noir,31-10-2002,Idea Factory,Idea Factory
Gakuen Utopia: Manabi Straight! KiraKira Happy Festa!,29-03-2007,Marvelous Entertainment,Marvelous Entertainment
Galactic Wrestling: Featuring Ultimate Muscle•Kinnikuman GenerationsJP,22-04-2004,AKI Corp.,Bandai
Galaxy Angel,17-04-2003,Broccoli,Broccoli
Galaxy Angel II: Eigou Kaiki no Koku,12-03-2009,Broccoli,Broccoli
Galaxy Angel II: Mugen Kairou no Kagi,18-10-2007,Broccoli,Broccoli
Galaxy Angel II: Zettairyouiki no Tobira,22-06-2006,Broccoli,Broccoli
Galaxy Angel: Eternal Lovers,24-02-2005,Broccoli,Broccoli
Galaxy Angel: Moonlit Lovers,26-02-2004,Broccoli,Broccoli
Galerians: Ash,25-04-2002,Polygon Magic,"EnterbrainJP, |Sammy StudiosNA,PAL"
Gallop Racer 2001•Gallop Racer 5JP,29-03-2001,Tecmo,Tecmo
Gallop Racer 2003: A New Breed•Gallop Racer 6: RevolutionJP•At the Races Presents Gallop RacerPAL,12-12-2002,Tecmo,"TecmoJP,NA, Zoo Digital PublishingPAL"
Gallop Racer 2004•Gallop Racer Lucky 7JP•Gallop Racer 2PAL,19-02-2004,Tecmo,"TecmoJP,NA, Zoo Digital PublishingPAL"
Gallop Racer 2006•Gallop Racer 8: Live Horse RacingJP,15-12-2005,Tecmo,Tecmo
Gallop Racer Inbreed,02-11-2006,Tecmo,Tecmo
Gambler Densetsu Tetsuya,21-06-2001,Athena,Athena
Gambler Densetsu Tetsuya Digest,27-05-2004,Athena,Athena
Gambler Densetsu Tetsuya: Kurouto Choujou Kessen,03-07-2003,Athena,Athena
Game Center USA: Midway Arcade Treasures,21-09-2006,Success,Success
Game ni Nattayo! Dokuro-chan,10-11-2005,Idea Factory,Idea Factory
Game Select 5 Wa,28-09-2000,Yuki,Yuki
Game Select 5 You,25-01-2001,Yuki,Yuki
Games Galaxy 2,06--2006,Phoenix Games,Phoenix Games
Gantz: The Game,17-03-2005,Konami,Konami
Garfield,19-11-2004,The Code Monkeys,Hip Games
Garfield: A Tale of Two Kitties•Garfield 2PAL,06-10-2006,Asobo Studio,The Game Factory
Garfield: Lasagna World Tour,30-11-2007,EKO Software,"Blast! Entertainment LtdEU, Conspiracy EntertainmentNA"
Garfield: Saving Arlene•Garfield: Arleene o Sukue!JP,27-04-2006,EKO Software,"Titus Japan KKJP, Hip GamesEU"
Garou: Mark of the Wolves,30-06-2005,SNK Playmore,SNK Playmore
Garouden Breakblow,17-11-2005,Opus,ESP Software
Garouden Breakblow: Fist or Twist,15-03-2007,Opus,ESP Software
Gauntlet: Dark Legacy,01-05-2001,Midway Games West,Midway Games
Gauntlet: Seven Sorrows,12-12-2005,Midway Games,Midway Games
Gecko Blaster,01-12-2007,Phoenix Games,Phoenix Games
Gegege no Kitarou: Ibun Youkai Kitan,11-12-2003,WinkySoft,Konami
The Gekai•Simple 2000 Series Vol. 58: The GekaiJP,02-09-2004,Vingt-et-un Systems,D3 Publisher
Gekikuukan Pro Yakyuu: At the End of the Century 1999,07-09-2000,SquareSoft,SquareSoft
Gekitou Pro Yakyuu,11-09-2003,Wow Entertainment,Sega
Gendai Daisenryaku: Isshoku Sokuhatsu - Gunji Balance Houkai,27-08-2009,SystemSoft,SystemSoft
Gene Troopers,25-12-2006,Caludron Ltd.,Playlogic
Generation of Chaos,09-08-2001,Idea Factory,Idea Factory
Generation of Chaos III: Toki no Fuuin,08-05-2003,Idea Factory,Idea Factory
Generation of Chaos IV•Shinten Makai: Generation of Chaos IVJP,22-04-2004,Idea Factory,Idea Factory
Generation of Chaos Desire,27-09-2007,Idea Factory,Idea Factory
Generation of Chaos Next,25-04-2002,Idea Factory,Idea Factory
"Genji: Dawn of the Samurai•GenjiAS,JP,KO,PAL",28-06-2005,Game Republic,Sony Computer Entertainment
Genshi no Kotoba,18-10-2001,Sony Computer Entertainment,Sony Computer Entertainment
Georama Sensen Ijou Nashi: Stalingrad e no Michi,23-06-2005,Marionette,Marionette
George of the Jungle and the Search for the Secret•George of the JungleEU,18-03-2008,Crave Entertainment,"Crave EntertainmentNA, Ignition EntertainmentEU"
Germany's Next Topmodel 2009,21-05-2009,SevenOne Intermedia,SevenOne Intermedia
Get On Da Mic,05-10-2004,A2M,Eidos Interactive
Get Ride! AMDriver: Soukoku no Shinjitsu,24-03-2005,WinkySoft,Konami
The Getaway,11-12-2002,Team Soho,Sony Computer Entertainment
The Getaway: Black Monday,12-11-2004,London Studio,Sony Computer Entertainment
GetBackers Dakkanya: Dakkandayo! Zenin Shuugou!!,16-01-2003,Konami,Konami
GetBackers Dakkanya: Ubawareta Mugenjou,26-09-2002,Konami,Konami
GetBackers Dakkanya: Urashinshiku Saikyou Battle,29-04-2004,Konami,Konami
Getsumento Heiki Mina: Futatsu no Project M,26-07-2007,Idea Factory,Idea Factory
"Ghost in the Shell: Stand Alone Complex•Koukaku Kidoutai: Stand Alone ComplexJP,KO",04-03-2004,Cavia,"Sony Computer EntertainmentJP,KO, BandaiNA,PAL"
Ghost Master: The Gravenville Chronicles,27-08-2004,Empire Interactive,Empire Interactive
Ghost Rider,13-02-2007,Climax Group,2K Games
Ghost Vibration,04-07-2002,Artoon,"Eidos InteractiveJP, InfogramesEU"
Ghostbusters: The Video Game,16-06-2009,Red Fly Studio,"Atari NA, Sony Computer EntertainmentPAL"
Ghosthunter,05-12-2003,SCE Studio Cambridge,"Sony Computer EntertainmentEU, NamcoNA, Electronic ArtsJP"
Giant Robo: The Animation - Chikyuu ga Seishisuru Hi,03-11-2004,Tamsoft,D3 Publisher
Giants: Citizen Kabuto,20-12-2001,Planet Moon Studios,Interplay Entertainment
Gift,06-07-2001,EKO Software,Cryo Interactive
Gift: Prism,19-10-2006,Moonstone,Sweets
Gigawing Generations•Yokushin: Giga Wing GenerationsJP,24-03-2005,Takumi Corporation,"TaitoJP, 505 Game StreetEU"
Gin no Eclipse,31-07-2008,NIne'sFox,NIne'sFox
Gintama Gin-San to Issho! Boku no Kabuki Machi Nikki,30-08-2007,Bandai Namco Games,Bandai Namco Games
Girl Zone,05--2005,Mere Mortals,Phoenix Games
Girls Bravo: Romance 15's,27-01-2005,Kadokawa Games,Kadokawa Games
GitaDora! Guitar Freaks 4th Mix & DrumMania 3rd Mix,20-09-2001,Konami,Konami
Gitaroo Man,21-06-2001,Koei/Inis,Koei
Gladiator: Sword of Vengeance,05-11-2003,Acclaim Studios Manchester,Acclaim Entertainment
Gladius,28-10-2003,LucasArts,"LucasArtsNA, ActivisionEU"
Glass Rose•Garasu no BaraJP,06-11-2003,Cing,Capcom
Global Defence Force•Simple 2000 Series Vol. 81: The Chikyuu Boueigun 2JP•The Terra Defence Force 2KO,28-07-2005,Sandlot,"D3 PublisherJP,KO, Essential GamesEU"
Global Defence Force: Tactics•Simple 2000 Series Vol. 103: The Chikyuu Boueigun TacticsJP,27-07-2006,Sandlot,"D3 PublisherJP, Essential GamesEU"
Global Folktale,25-10-2001,Idea Factory,Idea Factory
Global Touring Challenge: Africa,16-11-2001,Rage Software,"XplosivPAL, Majesco EntertainmentNA, SuccessJP"
"Go, Diego, Go! Great Dinosaur Rescue",27-10-2008,High Voltage Software,2K Play
"Go, Diego, Go! Safari Rescue",11-02-2008,High Voltage Software,2K Play
Go Go Copter•PuchiCopterJP,13-03-2003,Aqua Systems,"Aqua SystemsJP, Empire InteractiveEU"
Go Go Golf•Magical Sports Go Go GolfJP,21-09-2000,Mahou,"MahouJP, Midas Interactive EntertainmentEU"
Go Kart Rally,20-04-2007,Phoenix Games,Phoenix Games
Goblin Commander: Unleash the Horde,11-11-2003,Jaleco Entertainment,Jaleco Entertainment
Gobuato no Sekai,02-08-2001,Media Factory,Media Factory
God Hand,14-09-2006,Clover Studio,Capcom
God of War,22-03-2005,Santa Monica Studio,"Sony Computer EntertainmentKO,NA,PAL, CapcomJP"
God of War II•God of War II: Shuuen No JokyokuJP,13-03-2007,Santa Monica Studio,"Sony Computer EntertainmentKO,NA,PAL, CapcomJP"
Godai Elemental Force,21-01-2002,3DO,3DO
The Godfather•Der PateDE•El PadrinoES•Il PadrinoIT•Le ParrainFR,03-03-2006,Page 44 Studios,Electronic Arts
Godzilla: Save the Earth•Godzilla Kaijuu Dairansen: Chikyuu Saishuu KessenJP,02-11-2004,Pipeworks Studios,Atari
Godzilla: Unleashed,20-11-2007,Pipeworks Studios,Atari
Gokujou Seitokai,15-09-2005,Konami,Konami
Gokuraku Jan Premium,31-07-2003,Enterbrain,DigiCube
Gold X,27-11-2003,Aruze,Nippon Amuse
