titles,genre,developers,publishers
Dark Souls II,Action Role-playing,FromSoftware,"Namco Bandai Games, From SoftwareJP"
Dark Void,"Third-person Shooter, action-adventure",Airtight Games,Capcom
Darkest of Days,First-person shooter,8monkey Labs,Phantom EFX
Darksiders,"Hack & Slash, Action-adventure",Vigil Games,THQ
Darksiders II,"Hack & Slash, Action-adventure",Vigil Games,THQ
Darkstalkers Resurrection (Night Warriors: Darkstalkers' Revenge and Darkstalkers 3),Fighting,Iron Galaxy,Capcom
DarkStar One: Broken Alliance,Space Combat Sim,Gaming Minds Studio,Kalypso Media
Darwinia+,Action & Adventure,Introversion Software,Xbox Game Studios
Dash of Destruction,Racing & Flying,NinjaBee,NinjaBee
Days of Thunder: Arcade,Racing & Flying,Piranha Games,Paramount Digital Entertainment
Daytona USA,Racing & Flying,Sega,Sega
de Blob 2,"Puzzle, Platform",Blue Tongue Entertainment,THQ
Dead Block,Action & Adventure,Candygun Games,Bandai Namco Entertainment
Dead Island,First-person shootersurvival horroropen world,Techland,Deep Silver
Dead Island: Riptide,First-person shootersurvival horroropen world,Techland,Deep Silver
Dead or Alive 4,Fighting,Team Ninja,Tecmo
Dead or Alive 5,Fighting,Team Ninja,Tecmo Koei
Dead or Alive 5 Last Round,Fighting,Team Ninja,Tecmo Koei
Dead or Alive 5 Ultimate,Fighting,Team Ninja,Tecmo Koei
Dead or Alive Xtreme 2,Sports,Team Ninja,Tecmo
Dead Rising,Action-adventuresurvival horroropen world,Capcom,Capcom
Dead Rising 2,Action-adventuresurvival horror,Blue Castle GamesCapcom,Capcom
Dead Rising 2: Case West,Action-adventure,Blue Castle Games,Capcom
Dead Rising 2: Case Zero,Action-adventure,Blue Castle Games,Capcom
Dead Rising 2: Off the Record,Action-adventuresurvival horror,Capcom Vancouver,Capcom
Dead Space,Third-person shootersurvival horror,EA Redwood Shores,Electronic Arts
Dead Space 2,Third-person shootersurvival horror,Visceral Games,Electronic Arts
Dead Space 3,Third-person shootersurvival horror,Visceral Games,Electronic Arts
Dead Space Ignition,Action & Adventure,Sumo Digital,Electronic Arts
Dead to Rights: Retribution,Action,Volatile Games,Namco Bandai Games
Deadfall Adventures,"First-person shooter, Action-adventure",The Farm 51,Nordic Games
Deadliest Catch: Alaskan Storm,"Sim, God Game",Liquid Dragon Studios,Greenwave Games
Deadliest Catch: Sea of Chaos,"Sim, God Game",DoubleTap Games,Crave Entertainment
Deadliest Warrior: Ancient Combat,Fighting game,Pipeworks Software,345 Games
Deadliest Warrior: Battlegrounds,Action & Adventure,Hardsuit Labs,Spike Games
Deadliest Warrior: Legends,Fighting,Pipeworks Software,345 Games/Spike Games
Deadliest Warrior: The Game,Fighting,Pipeworks Software,Spike Games
Deadlight,Action & Adventure,Tequila Works,Xbox Game Studios
Deadly Premonition[note 11],"Survival Horror, Open World",Access Games,UTV Ignition Entertainment
Deadpool,"Third-person Shooter, Fighting",High Moon Studios,Activision
Death By Cube,Action & Adventure,Premium Agency,Square Enix
Death Tank,Shooter,Snowblind Studios,Xbox Game Studios
DeathSmiles,Bullet Hell,Cave,"Aksys GamesNA, CaveJP"
DeathSmiles II,Bullet Hell,Cave,Cave
DeathSpank,Role-playing,Hothead Games,Electronic Arts
Deathspank 2011Deathspank: The Baconing,Role-playing,Hothead Games,Valcon Games
DeathSpank: Thongs of Virtue,Role-playing,Hothead Games,Electronic Arts
Deca Sports Freedom,Sports,Hudson Soft,Konami
Deep Black: Episode 1,Action & Adventure,Biart,505 Games
Deepak Chopra's Leela,Fitness,THQ,THQ
Def Jam Rapstar,"Music, simulation",4mm Games,Konami
Def Jam: Icon,Fighting,EA Chicago,Electronic Arts
Defender,Classics,Midway Games/Digital Eclipse,Midway Games
Defenders of Ardania,Strategy & Simulation,Most Wanted Entertainment,Deep Silver/Paradox Interactive
Defense Grid: The Awakening,Strategy & simulation,Hidden Path Entertainment,Xbox Game Studios
Defense Technica,Strategy & simulation,Kuno Interactive,Cyberfront Korea Corporation
Defiance,Third-person shooterrole-playing,Trion Worlds,Trion Worlds
Destiny,Action role-playingfirst-person shooter,Bungie,Activision
Destroy All Humans! Path of the Furon,Third-person shooteradventure,Sandblast Games,THQ
Deus Ex: Human Revolution,"Action role-playing, stealth",Eidos Montréal,Square Enix
Deus Ex: Human Revolution Director's Cut,"Action role-playing, stealth",Eidos Montréal,Square Enix
Devil May Cry 4,Hack & slashaction,Capcom,Capcom
Devil May Cry HD Collection[note 12],"Hack & Slash, Action",Capcom,Capcom
Diablo III,Action Role-playing,Blizzard Entertainment,Blizzard Entertainment
Diablo III: Reaper of Souls,Action Role-playing,Blizzard Entertainment,Blizzard Entertainment
Diabolical Pitch,Kinect,Grasshopper Manufacture,Xbox Game Studios
Diario: Rebirth Moon Legend,Role-playing,Idea Factory,Idea Factory
Dig Dug,Classics,Bandai Namco Entertainment,Bandai Namco Entertainment
Digimon All-Star Rumble,Fighting,Bandai Namco Games,Bandai Namco Games
Diner Dash,Puzzle & Trivia,GameLab,Hudson Soft
Dirt,Racing,Codemasters,Codemasters
Dirt 2,Racing,Codemasters,Codemasters
Dirt 3,Racing,Codemasters,Codemasters
Dirt: Showdown,Racing,Codemasters,Codemasters
Discs of Tron,Classics,Midway GamesDigital Eclipse,Disney Interactive Studios
Dishonored[note 13],Action,Arkane Studios,Bethesda Softworks
"Dishwasher: Dead Samurai, TheThe Dishwasher: Dead Samurai",Action & Adventure,Ska Studios,Xbox Game Studios
"Dishwasher: Vampire Smile, TheThe Dishwasher: Vampire Smile",Action & Adventure,Ska Studios,Xbox Game Studios
Disney Infinity,Action-adventure,Avalanche Software,Disney Interactive Studios
Disney Infinity 2.0,Action-adventure,Avalanche Software,Disney Interactive Studios
Disney Infinity 3.0,Action-adventure,Avalanche Software,Disney Interactive Studios
Disney Sing It,Music,Zoë Mode,Disney Interactive Studios
Disney Sing It! – High School Musical 3: Senior Year,Music,Zoë Mode,Disney Interactive Studios
Disney Universe,Fantasy,Eurocom,Disney Interactive Studios
Disorder 6,Visual novel,5pb. Games,5pb. Games
Divinity II: Ego Draconis,Action role-playing,Larian Studios,CDV Software Entertainment
Divinity II: The Dragon Knight Saga,Action role-playing,Larian Studios,Atlus
DJ Hero,Music,FreeStyleGames,Activision
DJ Hero 2,Music,FreeStyleGames,Activision
DmC: Devil May Cry,"Hack & Slash, Action",Ninja Theory,Capcom
DoDonPachi Dai Ou Jou Black Label Extra,Bullet Hell,Cave,5pb.
Do-Don-Pachi Dai-Fukkatsu[note 14],Bullet Hell,Cave,Cave
Do-Don-Pachi Dai-Fukkatsu Black Label,Bullet Hell,Cave,Cave
DoDonPachi SaiDaiOuJou,Bullet Hell,Cave,Cave
Dogfight 1942,Racing & Flying,CI Games,CI Games
Dollar Dash,Action & Adventure,Candygun Games,Kalypso Media
Domino Master,Card & Board,TikGames,Xbox Game Studios
Don Bradman Cricket 14,Sports,Big Ant Studios,Tru Blu Entertainment
Don King Presents: Prizefighter,Sports,Venom Games,2K Sports
Doodle Jump for Kinect,Kinect,Lima Sky,D3 Publisher
Doom,Shooter,id Software,Bethesda Softworks
Doom 3 BFG Edition,First-person shooter,id Software,Bethesda Softworks
Doom II: Hell on Earth,Shooter,id Software,Bethesda Softworks
Doritos Crash Course,Platformer,Wanako Games,Xbox Game Studios
Doritos Crash Course 2,Platformer,BHVR,Xbox Game Studios
Double D Dodgeball,Sports & Recreation,Yuke's,Yuke's
Double Dragon,Classics,Razerworks,Empire Interactive
Double Dragon II: Wander of the Dragons,Action & Adventure,Gravity Interactive,Barunson
Double Dragon Neon,Action & Adventure,WayForward Technologies,Majesco Entertainment
Double Fine Happy Action Theater,Kinect,Double Fine Productions,Xbox Game Studios
Dragon Age II,Action Role-playing,BioWare,Electronic Arts
Dragon Age: Inquisition,Action Role-playing,BioWare,Electronic Arts
Dragon Age: Origins,Role-playing,BioWare,Electronic Arts
Dragon Age: Origins – Awakening,"Role-playing, Expansion",BioWare,Electronic Arts
Dragon Ball XenoVerse,Fighting-Action,Dimps,Namco Bandai Games
Dragon Ball Z for Kinect,Fighting,Spike Chunsoft,Namco Bandai Games
Dragon Ball Z: Battle of Z,Fighting,Artdink,Namco Bandai Games
Dragon Ball Z: Burst Limit,Fighting,Dimps,Namco Bandai GamesAtari
Dragon Ball Z: Ultimate Tenkaichi,Fighting,Spike,Namco Bandai Games
Dragon Ball: Raging Blast,Fighting,Spike,Namco Bandai Games
Dragon Ball: Raging Blast 2,Fighting,Spike,Namco Bandai Games
Dragon Ball Z: Budokai HD Collection remaster of Budokai & Budokai 3,Fighting,Spike,Namco Bandai Games
Dragon's Dogma,"Action Role-playing, Open World",Capcom,Capcom
Dragon's Dogma: Dark Arisen,"Action Role-playing, Open World",Capcom,Capcom
Dragon's Lair,Classics,Digital Leisure,Xbox Game Studios
Dream Chronicles,Puzzle & Trivia,KatGames,PlayFirst
Dream Club,Dating sim,Tamsoft,D3 Publisher
Dream Club Zero,Dating sim,Tamsoft,D3 Publisher
Dream Pinball 3D II,Pinball simulator,ASK Homework,TopWare Interactive
Dreamcast Collection,Compilation,Sega,Sega
DreamWorks Super Star Kartz,Racing,High Impact Games,Activision
Driver: San Francisco,"Racing Mission, Open World",Ubisoft Reflections,Ubisoft
Droplitz,Puzzle & Trivia,Blitz Arcade,Atlus
Duck Dynasty,"Hunting,Fishing",Activision,Activision
DuckTales: Remastered,Platformer,WayForward Technologies,Capcom
Duke Nukem 3D,Shooter,3D Realms,Xbox Game Studios
Duke Nukem Forever,First-person shooter,Gearbox Software,2K Games
Duke Nukem: Manhattan Project,Action & Adventure,3D Realms,Xbox Game Studios
Dunamis 15,Visual novel,5pb.,5pb.
Dungeon Defenders,Strategy & ARole-playing,Trendy Entertainment,D3 Publisher
Dungeon Fighter Live: Fall of Hendon Myre,Role Playing,Nexon,Xbox Game Studios
Dungeon Siege III,Action Role-playing,Obsidian Entertainment,Square Enix
Dungeons & Dragons: Chronicles of Mystara (Shadow Over Mystara and Tower of Doom),Action & Adventure,Iron Galaxy,Capcom
Dungeons & Dragons: Daggerdale,Role Playing,Bedlam Games,Atari
Dust: An Elysian Tail,Platformer,Humble Hearts,Xbox Game Studios
Dustforce,Platformer,Hitbox Team,Capcom
Dynasty Warriors 5 Empires,"Hack & Slash, Tactical Role-playing",Omega Force,Koei
Dynasty Warriors 6,"Hack & Slash, Tactical Role-playing",Omega Force,Koei
Dynasty Warriors 6 Empires,"Hack & Slash, Tactical Role-playing",Omega Force,Koei
Dynasty Warriors 7,"Hack & Slash, Tactical Role-playing",Omega Force,Koei
Dynasty Warriors 8,"Hack & Slash, Tactical Role-playing",Omega Force,Koei
Dynasty Warriors: Gundam 2[note 15],"Hack & Slash, Tactical Role-playing",Omega Force,"Namco Bandai, KoeiEU"
Dynasty Warriors: Gundam 3[note 16],"Hack & Slash, Tactical Role-playing","Koei, Omega Force","Namco Bandai, KoeiEU"
Dynasty Warriors: Gundam[note 17],"Hack and slash, tactical role-playing","Koei, Omega Force","Namco Bandai, KoeiEU"
Dynasty Warriors: Strikeforce[note 18],"Hack & Slash, Tactical Role-playing",Koei,Koei
EA Sports Active 2,,EA Vancouver,EA Sports
EA Sports Fantasy Football:Live Draft Tracker,"Application, Sports & Recreation",EA Tiburon,EA Sports
EA Sports Fantasy Football:Live Score Tracker,"Application, Sports & Recreation",EA Tiburon,EA Sports
EA Sports MMA,Sports,EA Tiburon,EA Sports
Earth Defense Force 2017,Third-person shooter,Sandlot,D3 Publisher
Earth Defense Force 2025,Third-person shooter,Sandlot,D3 Publisher
Earth Defense Force: Insect Armageddon,Third-person Shooter,Vicious Cycle Software,D3 Publisher
Earthworm Jim HD,Classics,Gameloft,Xbox Game Studios
Eat Lead: The Return of Matt Hazard,Third-person Shooter,Vicious Cycle Software,D3 Publisher
Ecco the Dolphin,Classics,Novotrade InternationalDigital Eclipse,Sega
Eets: Chowdown,Puzzle & Trivia,Klei Entertainment,Xbox Game Studios
El Chavo Kart,Racing,Efecto Studios (along with Slang),Televisa Home Entertainment
El Shaddai: Ascension of the Metatron,Action,Ignition Tokyo,UTV Ignition Games
Elements of Destruction,Strategy & Simulation,Frozen Codebase,THQ
Enchanted Arms[note 19],Role-playing,From Software,Ubisoft
Encleverment Experiment,Family & Educational,Blitz Arcade,Xbox Game Studios
Enemy Front,First-person shooter,City Interactive,City Interactive
Enemy Territory: Quake Wars,First-person shooter,"id Software, Nerve Software",Activision
Enslaved: Odyssey to the West,"Action-adventure, Platform",Ninja Theory,Namco Bandai Games
Entaku no Seito: Students of Round,Action role-playing,Experience Inc.,ChunSoft
Epic Mickey 2: The Power of Two,"Action-adventure, Platform",Blitz Games,Disney Interactive Studios
Eragon,"Hack & Slash, Action-adventure",Stormfront Studios,Vivendi Games
Escape Dead Island,"Action, Survival Horror, Stealth",Fatshark,Deep Silver
"Escapists, TheThe Escapists",Strategy & Simulation,Mouldy Toof Studios/Team17,Team17
Eschatos,Scrolling Shooter,Qute,Qute
Espgaluda II,Bullet Hell,Cave,Cave
Eternal Sonata,Role-playing,Tri-Crescendo,Namco Bandai Games
Ever17,Visual novel,5pb.,5pb.
Every Extend Extra Extreme (E4),Action & Adventure,Q Entertainment,Xbox Game Studios
Every Party,Party Game,Game Republic,Xbox Game Studios
Everyone Sing,"Party Game, Singing Game",O-Games,O-Games
Exit,Puzzle & Trivia,Taito,Taito
Exit 2,Puzzle & Trivia,Taito,Taito
"Expendables 2 Video Game, TheThe Expendables 2 Video Game",Shooter,ZootFly,Ubisoft
F.E.A.R.,"First-person shooter, Survival horror",Day 1 Studios,Vivendi Games
F.E.A.R. 2: Project Origin,"First-person shooter, Survival horror",Monolith Productions,Warner Bros. Interactive Entertainment
F.E.A.R. 3,"First-person shooter, Survival horror",Day 1 Studios,Warner Bros. Interactive Entertainment
F.E.A.R. Files[note 20],"First-person shooter, Survival horror",TimeGate Studios,Sierra Entertainment
F1 2010,Racing,Codemasters Birmingham,Codemasters
F1 2011,Racing,Codemasters Birmingham,Codemasters
F1 2012,Racing,Codemasters Birmingham,Codemasters
F1 2013,Racing,Codemasters Birmingham,Codemasters
F1 2014,Racing,Codemasters Birmingham,Codemasters
F1 Race Stars,Racing,Codemasters Birmingham,Codemasters
Fable Anniversary,"Action Role-playing, Open World",Lionhead Studios,Xbox Game Studios
Fable Heroes,Action & Adventure,Lionhead Studios,Xbox Game Studios
Fable II,"Action Role-playing, Open World",Lionhead Studios,Xbox Game Studios
Fable II Pub Games,Card & Board,Carbonated Games/Lionhead Studios,Xbox Game Studios
Fable III,"Action Role-playing, Open World",Lionhead Studios,Xbox Game Studios
Fable: The Journey,,Lionhead Studios,Xbox Game Studios
FaceBreaker,Sports,EA Canada,EA Sports Freestyle
Faery: Legends of Avalon,Role Playing,Spiders,Focus Home Interactive
Fairytale Fights,"Hack & Slash, Action-adventure",Playlogic,Playlogic
Falling Skies: The Game,Strategy,Torus Games,Little Orbit
Fallout 3,"Action Role-playing, Open World",Bethesda Game Studios,Bethesda Softworks
Fallout 3 Game Add-On Pack - Broken Steel and Point Lookout,"Action Role-playing, Open World, Expansion",Bethesda Game Studios,Bethesda Softworks
Fallout 3 Game Add-On Pack - The Pitt and Operation Anchorage,"Action Role-playing, Open World, Expansion",Bethesda Game Studios,Bethesda Softworks
Fallout: New Vegas,Action Role-playing,Obsidian Entertainment,Bethesda Softworks
Family Feud 2012,Trivia,Pipeworks Software,THQ
Family Guy: Back to the Multiverse,Action-adventure,Heavy Iron Studios,Activision
"Fancy Pants Adventures, TheThe Fancy Pants Adventures",Platformer,Borne Games/Over the Top Games,Electronic Arts
Fantasia: Music Evolved,,Harmonix Music Systems,Xbox Game Studios
Fantastic Four: Rise of the Silver Surfer,"Action-adventure, Third-person",Visual Concepts,2K Games
Fantastic Pets,,Blitz Games Studios,THQ
Far Cry 2,"First-person shooter, Open World",Ubisoft Montreal,Ubisoft
Far Cry 3,"First-person shooter, Open world",Ubisoft Montreal,Ubisoft
Far Cry 3: Blood Dragon,Shooter,Ubisoft Montreal,Ubisoft
Far Cry 4,"First-person shooter, Open world",Ubisoft Montreal,Ubisoft
Far Cry Instincts Predator,First-person shooter,Ubisoft Montreal,Ubisoft
Far Cry Classic,Shooter,Crytek,Ubisoft
Farming Simulator,Simulation,Giants Software,Focus Home Interactive
Farming Simulator 15,Simulation,Giants Software,Focus Home Interactive
Fast & Furious: Showdown,Racing,Firebrand Games,Activision
Fatal Fury Special,Classics,SNK,SNK
Fatal Inertia,Racing,Stormfront Studios,Vivendi Games
Feeding Frenzy,Action & Adventure,PopCap Games,Xbox Game Studios
Feeding Frenzy 2: Shipwreck Showdown,Action & Adventure,PopCap Games,PopCap Games
Fez,Action & Adventure,Polytron Corporation,Xbox Game Studios
FIFA 06: Road to FIFA World Cup,Sports,EA Canada,EA Sports
FIFA 07,Sports,EA Canada,EA Sports
FIFA 08,Sports,EA Canada,EA Sports
FIFA 09,Sports,EA Canada,EA Sports
FIFA 10,Sports,EA Canada,EA Sports
FIFA 11,Sports,EA Canada,EA Sports
FIFA 12,Sports,EA Canada,EA Sports
FIFA 13,Sports,EA Canada,EA Sports
FIFA 14,Sports,EA Canada,EA Sports
FIFA 15,Sports,EA Canada,EA Sports
FIFA 16,Sports,EA Canada,EA Sports
FIFA 17,Sports,EA Canada,EA Sports
FIFA 18: Legacy Edition,Sports,EA Canada,EA Sports
FIFA 19: Legacy Edition,Sports,EA Canada,EA Sports
FIFA Street,Sports,EA Canada,EA Sports
FIFA Street 3,Sports,EA Canada,EA Sports BIG
Fight Night Champion,Sports,EA Canada,EA Sports
Fight Night Round 3,Sports,EA Chicago,EA Sports
Fight Night Round 4,Sports,EA Canada,EA Sports
Fighters Uncaged,,AMA Studios,Ubisoft
Fighting Vipers,Fighting,Sega,Sega
Final Exam,Action & Adventure,Mighty Rocket Studio,Focus Home Interactive
Final Fantasy XI: Seekers of Adoulin,"MMORole-playing, Expansion",Square Enix,Square Enix
Final Fantasy XI: Wings of the Goddess,"MMORole-playing, Expansion",Square Enix,Square Enix
Final Fantasy XI[note 21],MMORole-playing,Square Enix,Square Enix
Final Fantasy XIII,Role-playing,Square Enix,Square Enix
Final Fantasy XIII-2,Role-playing,Square Enix,Square Enix
"Final Fight: Double Impact(Final Fight, Magic Sword)",Classics,Proper Games,Capcom
Fire Pro Wrestling,Fighting,Spike Chunsoft,Xbox Game Studios
Fireburst,Racing & Flying,IndiePub,Bigben Interactive
Fist of the North Star: Ken's Rage 2[note 22],Beat 'em Up,Koei,Tecmo Koei
Fist of the North Star: Ken's Rage[note 23],Beat 'em Up,Omega Force,Koei
Flashback,Platformer,VectorCell,Ubisoft
FlatOut: Ultimate Carnage,"Racing, Vehicular combat",Bugbear Entertainment,Empire Interactive
Flock!,Action & Adventure,Proper Games,Capcom
Football Genius: The Ultimate Quiz,Sports & Recreation,RTL Sports,I-Imagine Interactive
Football Manager 2006,Sports Management,Sports Interactive,Sega Europe
Football Manager 2007,Sports Management,Sports Interactive,Sega Europe
Football Manager 2008,Sports Management,Sports Interactive,Sega Europe
Forza Horizon,"Racing, Open World","Playground Games, Turn 10 Studios",Xbox Game Studios
Forza Horizon 2,"Racing, Open World","Sumo Digital, Turn 10 Studios",Xbox Game Studios
Forza Motorsport 2,Racing,Turn 10 Studios,Xbox Game Studios
Forza Motorsport 3,Racing,Turn 10 Studios,Xbox Game Studios
Forza Motorsport 4,Racing,Turn 10 Studios,Xbox Game Studios
Foul Play,Action & Adventure,Mediatonic,Mastertronic Group
Fracture,Third-person Shooter,Day 1 Studios,LucasArts
Freefall Racers,Kinect,Smoking Gun Interactive,Deep Silver
Fret Nice,Platformer,Pieces Interactive,Koei Tecmo
Frogger,Classics,Konami/Digital Eclipse,Konami
Frogger 2,Action & Adventure,"Voltex, Inc.",Konami
Frogger: Hyper Arcade Edition,Classics,Zombie Studios,Konami
From Dust,Strategy & Simulation,Ubisoft Montpellier,Ubisoft
Front Mission Evolved,"Tank & Mecha Sim, Third-person Shooter",Double Helix Games,Square Enix
Frontlines: Fuel of War,"First-person shooter, Action",Kaos Studios,THQ
Frozen Free Fall: Snowball Fight,Puzzle & Trivia,SuperVillain Studios,Disney Interactive Studios
Fruit Ninja Kinect,Kinect,Halfbrick Studios,Xbox Game Studios
Fuel,"Racing, Open World",Asobo Studios,Codemasters
Full Auto,Vehicular combat,Pseudo Interactive,Sega
Full House Poker,Card & Board,"Xbox Game Studios
/Krome Studios",Xbox Game Studios
Big League Sports,Sports,Koolhaus Games,Activision
FunTown Mahjong,Card & Board,FunTown World,Xbox Game Studios
Fuse,Action,Insomniac Games,Electronic Arts
Fusion: Genesis,Shooter,Starfire Studio,Xbox Game Studios
Fuzion Frenzy 2,Party,Hudson Soft,Xbox Game Studios
G.I. Joe: The Rise of Cobra,Action,Double Helix Games,Electronic Arts
Ga-Sen Love Plus Pengo!,Platformer,Triangle Service,Triangle Service
Gal Gun,Rail Shooter,Inti Creates,Alchemist
Galaga,Classics,Namco,Namco
Galaga Legions,Shooter,Namco,Namco
Galaga Legions DX,Shooter,Namco Bandai Games,Namco Bandai Games
Game of Thrones,Action Role-playing,Cyanide Studios,Atlus
Game of Thrones,Graphic adventure,Telltale Games,Telltale Games
Game Party: In Motion,,FarSight Studios,Warner Bros. Interactive Entertainment
Garou: Mark of the Wolves,Classics,SNK,SNK
Gatling Gears,Action & Adventure,Vanguard Games,Electronic Arts
Gauntlet,Classics,Midway Games/Digital Eclipse,Midway Games
Gears of War,Third-person Shooter,Epic Games,Xbox Game Studios
Gears of War 2,Third-person Shooter,Epic Games,Xbox Game Studios
Gears of War 3,Third-person Shooter,Epic Games,Xbox Game Studios
Gears of War: Judgment,Third-person Shooter,People Can Fly,Xbox Game Studios
Gel: Set & Match,Puzzle & Trivia,Gastronaut Studios,Xbox Game Studios
Generator Rex: Agent of Providence,Action-adventure,Activision,Activision
Geometry Wars 3: Dimensions,Action & Adventure,Lucid Games,Activision
Geometry Wars 3: Dimensions Evolved,Action & Adventure,Lucid Games,Sierra Entertainment
Geometry Wars: Retro Evolved 2,Action & Adventure,Bizarre Creations,Xbox Game Studios
Geometry Wars: Retro Evolved,Action & Adventure,Bizarre Creations,Xbox Game Studios
Geon: Emotions,Action & Adventure,Strawdog Studios,Square Enix
Get Fit With Mel B,,Lightning Fish,"Deep Silver, Black Bean Games"
G-Force,"Action, Platform",Eurocom,Disney Interactive Studios
Ghostbusters: Sanctum of Slime,Shooter,Behaviour Interactive,Atari
Ghostbusters: The Video Game,"Action-adventure, Third-person shooter","Terminal Reality, Threewave Software",Atari
Giana Sisters: Twisted Dreams,Action & Adventure,Black Forest Games,bitComposer Interactive
Gin Rummy,Card & Board,Studios Ch'in,Activision
Ginga Force,Shoot 'em up,Qute,Qute
Girl Fight,Fighting,Kung Fu Factory,Majesco Entertainment
Go! Go! Break Steady,Family & Educational,Little Boy Games,Xbox Game Studios
Goat Simulator,Action & Adventure,Double Eleven,Double Eleven
Goat Simulator: Mmore Goatz Edition,Action & Adventure,Double Eleven,Double Eleven
God Mode,Shooter,Old School Games,Atlus
Golden Axe,Classics,Sega/Digital Eclipse,Sega
Golden Axe: Beast Rider,Hack & Slash,Secret Level,Sega
GoldenEye 007: Reloaded,First-person shooter,Eurocom,Activision
Golf: Tee It Up!,Sports & Recreation,Housemarque,Activision
Goosebumps: The Game,Action & Adventure,WayForward Technologies,GameMill Entertainment
Gotham City Impostors,Shooter,Monolith Productions,Warner Bros. Interactive Entertainment
Grand Slam Tennis 2,Sports,EA Canada,EA Sports
Grand Theft Auto IV[note 24],"Action-adventure, Open World",Rockstar North,"Rockstar Games, CapcomJP"
Grand Theft Auto V,"Action-adventure, Open World",Rockstar North,Rockstar Games
Grand Theft Auto: Episodes from Liberty City[note 25],"Action-adventure, Open World, Expansion",Rockstar North,Rockstar Games
Grand Theft Auto: San Andreas,"Action-adventure, Open World",Rockstar North,Rockstar Games
Gray Matter,Adventure,Wizarbox,dtp entertainment
Grease Dance,,Zoë Mode,505 Games
Greed Corp,Strategy & Simulation,W!Games,Valcon Games
Green Day: Rock Band,Music,Harmonix,MTV Games
Green Lantern: Rise of the Manhunters,Action,Double Helix Games,Warner Bros. Interactive Entertainment
Greg Hastings Painball 2,First-person shooter,Majesco Entertainment,Activision
Grid 2,Racing,Codemasters Southam,Codemasters
Grid Autosport,Racing,Codemasters Southam,Codemasters
GripShift,Racing & Flying,Sidhe Interactive,Xbox Game Studios
Guacamelee!: Super Turbo Championship Edition,Action & Adventure,DrinkBox Studios,Activision
Guardian Heroes,Action & Adventure,Treasure,Sega
Guardians of Middle-earth,Strategy & Simulation,Monolith Productions,Warner Bros. Interactive Entertainment
Guilty Gear 2: Overture,"Action-adventure, RTS",Arc System Works,505 Games
Guilty Gear XX Λ Core Plus,Fighting,Arc System Works,Arc System Works
Guitar Hero 5,Music,Neversoft,Activision
Guitar Hero II,Music,Harmonix,"RedOctane, Activision"
Guitar Hero III: Legends of Rock,Music,Neversoft,Activision
Guitar Hero Live,Music,FreeStyleGames,Activision
Guitar Hero Smash Hits,Music,Neversoft,Activision
Guitar Hero World Tour,Music,Neversoft,Activision
Guitar Hero: Aerosmith,Music,Neversoft,Activision
Guitar Hero: Metallica,Music,Neversoft,Activision
Guitar Hero: Van Halen,Music,Neversoft,Activision
Guitar Hero: Warriors of Rock,Music,Neversoft,Activision
Gun,Action-adventure,Neversoft,Activision
Guncraft: Blocked & Loaded,Action & Adventure,Exato Game Studios,GameMill Entertainment
Gunstar Heroes,Classics,Treasure/Backbone Entertainment,Sega
Guwange,Classics,Cave,Cave
Gyromancer,Puzzle & Trivia,PopCap Games/Square Enix,Square Enix
Gyruss,Classics,Konami/Digital Eclipse,Konami
Hail to the Chimp,Party,Wideload Games,Gamecock Media Group
Half-Minute Hero: Super Mega Neo Climax,Role Playing,Marvelous Entertainment,Xbox Game Studios
Halo 3,First-person shooter,Bungie,Xbox Game Studios
Halo 3: ODST,First-person shooter,Bungie,Xbox Game Studios
Halo 3: ODST Campaign Edition,First-person shooter,Bungie,Xbox Game Studios
Halo 4,First-person shooter,343 Industries,Xbox Game Studios
Halo Wars,RTS,Ensemble Studios,Xbox Game Studios
Halo: Combat Evolved Anniversary,First-person shooter,343 Industries,Xbox Game Studios
Halo: Reach,First-person shooter,Bungie,Xbox Game Studios
Halo: Spartan Assault,Shooter,343 Industries/Vanguard Games,Xbox Game Studios
Handball 16,Sports,Eko Software,Bigben Interactive
Hannah Montana: The Movie,"Adventure, Music",n-Space,Disney Interactive Studios
Happy Feet Two: The Video Game,"Adventure, Music",KMM Games,Warner Bros. Interactive Entertainment
Happy Tree Friends: False Alarm,Strategy & Simulation,Stainless Games,Sega
Happy Wars,Action & Adventure,Toylogic,Xbox Game Studios
Hard Corps: Uprising,Action & Adventure,Arc System Works,Konami
Hardwood Backgammon,Card & Board,Silver Creek Entertainment,Xbox Game Studios
Hardwood Hearts,Card & Board,Silver Creek Entertainment,Xbox Game Studios
Hardwood Spades,Card & Board,Silver Creek Entertainment,Xbox Game Studios
Harley Pasternak's Hollywood Workout,,Heavy Iron Studios,Majesco Entertainment
Harms Way,Racing & Flying,Bongfish,Xbox Game Studios
Harry Potter and the Deathly Hallows: Part I,Third-person Shooter,EA Bright Light,Electronic Arts
Harry Potter and the Deathly Hallows: Part II,Third-person Shooter,EA Bright Light,Electronic Arts
Harry Potter and the Half-Blood Prince,Third-person Shooter,EA Bright Light,Electronic Arts
Harry Potter and the Order of the Phoenix,Action-adventure,EA Bright Light,Electronic Arts
Harry Potter for Kinect,,Eurocom,Warner Bros. Interactive Entertainment
Hasbro Family Game Night,Board Game,EA Bright Light,Electronic Arts
Hasbro Family Game Night 3,Board Game,EA Bright Light,Electronic Arts
